id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
964411334191118882,Balcony near Quarter/Frenchmen 3,344300832,Ann,,Marigny,29.9638675,-90.05928809999999,Entire home/apt,191,3,17,2024-09-02,1.39,6,197,16,"23-CSTR-09833, 23-OSTR-09833"
813867234818635671,Wyndham Avenue Plaza luxurious suite,140081538,Victor,,Central City,29.934623178539194,-90.08021348465576,Private room,,30,0,,,1,0,0,Exempt
26201233,#1402- 2 BEDROOM HIGH RISE PENTHOUSE-  COMFY BEDS,90526814,Krystal,,Central Business District,29.95506,-90.07195,Entire home/apt,158,2,281,2024-08-20,3.81,43,321,17,23-xstr-21621
29257560,Pretty in Purple in New Orleans,84175994,Zack,,Treme - Lafitte,29.96797,-90.07806,Entire home/apt,,2,51,2020-11-10,0.72,1,0,0,"19STR-06285, 19-OSTR-0000"
707915847007580246,Wyndham Avenue Plaza | Studio Queen Suite,442029804,Live Suite,,Central City,29.93609,-90.08087,Entire home/apt,109,30,0,,,40,325,0,23-xstr-12345
815862795689369386,Inviting Condo Walking Distance to Local Favorite,442915263,Hosteeva California Building,,Central Business District,29.95499,-90.074063,Entire home/apt,,30,6,2023-08-22,0.34,71,0,0,24-XSTR-13205
817511959744270491,Esplanade Ridge Historic District #2,484363996,Jason,,Seventh Ward,29.974915298963886,-90.06790414452553,Entire home/apt,,1,43,2023-08-13,2.27,2,0,0,"22RSTR-35547, 22OSTR-83242"
39861061,King Size Room w your own private on suite. Privat,65665251,Jeanette,,Seventh Ward,29.98673,-90.06565,Private room,,30,1,2020-02-23,0.02,5,362,0,"20STR-01583, 19-OSTR-0000"
11449809,Historic uptown House 3min from CBD/FrenchQuarters,60197312,Talmadge,,Central City,29.9386,-90.08572,Entire home/apt,125,2,245,2024-08-11,2.38,2,163,20,"19STR-24294, 20-OSTR-01878"
39846410,Luxe Resort 1bd apt in Center of French Quarter,32330577,Adrianne,,Central Business District,29.95221,-90.06734,Entire home/apt,,30,0,,,1,0,0,Exempt
